pcc_id,recipe_name,recipe_links,author,recipe_image,recipe_overview,recipe_description,recipe_tags,recipe_ingredients,recipe_directions,external_url
100000,Shrimp Rolls,https://www.pccmarkets.com/recipe/shrimp-rolls/,By Naomi Tomky,https://www.pccmarkets.com/wp-content/uploads/2020/02/shrimp-rolls-PNWSeafoodCookbook-1600.jpg,Serves: 4,"Lobster rolls are the quintessential East Coast seafood dish, but here on the West Coast there’s no such signature dish. Some people like to pop crab in, which works, but I find that tiny bay shrimp give the same supple sweetness that makes lobster so delightful when sauced in mayonnaise and wrapped in a bun—and, unlike lobster, bay shrimp cost very little. These go very well with potato chips, particularly the pride of the Northwest, Tim’s Cascade.",,"['1 pound cooked bay shrimp (Tomky recommends Oregon bay shrimp)', '6 tablespoons mayonnaise', '4 scallions, thinly sliced', '6 sprigs tarragon leaves, chopped', 'Zest and juice of ½ lemon', '1 celery rib, thinly sliced', '¼ teaspoon kosher salt', 'Freshly ground black pepper, as needed', '4 brioche or Hawaiian sweet roll hot dog buns (see note)', '4 to 8 leaves little gem or butter lettuce (depending on size)']","['Mix the shrimp, 4 tablespoons of mayonnaise, the scallions, tarragon, lemon zest and juice, celery and salt. Grind a hefty amount of black pepper on top.', 'Spread the remaining 2 tablespoons of mayonnaise on the hot dog buns (if you don’t have top-split buns, you likely won’t need quite as much). Place the buns under the broiler for about 3 minutes, until caramel-brown and lightly crisp.', 'Line each bun with lettuce leaves, then fill with the shrimp mixture.']",https://www.pccmarkets.com
100001,Spring Tartlet With Greens And Parmesan,https://www.pccmarkets.com/recipe/spring-tartlet-greens-parmesan/,,https://www.pccmarkets.com/wp-content/uploads/2018/03/pcc-spring-tartlet-greens-1600.jpg,"Serves: 12
Ingredient Notes: Corn-free, Egg-free, Peanut-free, Tree nut-free, Vegetarian","Spring is the perfect time to use fresh, tender baby greens. You can use purple sprouting broccoli, kale raab or rapini in this fresh and fun recipe.","GREENS
KALE
SPRING","['2 tablespoons olive oil', '1 onion, sliced', '3 heads purple sprouting broccoli, kale raab or rapini, trimmed off rough ends and roughly chopped', '4 cloves garlic, minced', 'Pinch of red pepper flakes', 'Salt and pepper, to taste', 'Splash of red wine vinegar', '1 package frozen puff pastry, thawed', '3 teaspoons Dijon mustard', '3/4 cup grated Parmesan cheese']","['Preheat oven to 425° F. Line baking sheet with parchment paper.', 'Heat oil in a sauté pan over medium heat. Add onions and cook until lightly caramelized, about 15 minutes. Add greens and cook until just tender, 5 to 7 minutes. Add garlic, red pepper flakes, salt and pepper and cook for 1 additional minute. Splash with vinegar to deglaze the pan. Remove from heat and set aside.', 'Brush the pastry sheet with mustard. Fold over edges of pastry 1/8-inch on all sides; crimp with a fork to form a rim. Place pastry on the prepared baking sheet.', 'Spread greens mixture evenly over the pastry and top with Parmesan.', 'Bake until pastry is golden brown, 20 to 25 minutes. Let cool on a wire rack. Slice into pieces and serve at room temperature.']",https://www.pccmarkets.com
100002,Winter Skillet Nachos With Mushrooms And Kale,https://www.pccmarkets.com/recipe/winter-skillet-nachos-mushrooms-kale/,,https://www.pccmarkets.com/wp-content/uploads/2018/01/pcc-skillet-nachos-mushroom-kale-800x925.jpg,"Serves: 6 to 8
Ingredient Notes: Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free, Vegetarian","A wintery take on game-day nachos, this dish combines hearty mushrooms and creamy cheese (and a touch of salty bacon, if you like). All of this is piled on tortilla chips for a skillet full of nachos to really impress your guests.","KALE
MUSHROOMS","['2 tablespoons high-heat oil, additional if needed', '4 slices bacon, chopped (optional)', '8 ounces assorted mushrooms, cleaned and sliced', '1/2 red onion, chopped', '4 cloves garlic', '1 bunch kale, tough stems removed and leaves chopped', 'Pepper, to taste', '1 bag tortilla chips', '4 ounces shredded Fontina cheese', '4 ounces grated Parmesan cheese', '1/4 cup chopped chives, for serving', 'Truffle salt, to taste, for serving (optional)', 'Sour cream, for serving (optional)']","['Preheat oven to 400° F.', 'Heat oil in a 12-inch cast-iron skillet over medium heat. Add bacon, if using, and cook until just crisp and fat is rendered. Add mushrooms, onions and garlic to the skillet and cook until mushrooms release their juices, adding a little more oil, if needed. Add kale and a splash of water, cover, and cook until soft. Season with pepper and transfer mixture to a plate.', 'Spread half the tortilla chips in the skillet. Sprinkle with half the cheeses and mushroom mixture. Repeat layers with remaining ingredients.', 'Bake until cheese is melted, 10 to 15 minutes. Sprinkle with chives. Stir truffle salt into sour cream and serve as a dipping sauce.']",https://www.pccmarkets.com
100003,Blt Shrimp Cocktail Shooters,https://www.pccmarkets.com/recipe/blt-shrimp-cocktail-shooters/,,,"Prep Time: 45 minutes
Serves: Makes 8 shooters
Ingredient Notes: Peanut-free, Tree nut-free","This is an irresistible combination of flavorful shrimp, balsamic-roasted tomatoes, smoky bacon and piquant remoulade, perfect for holiday entertaining.",SHRIMP,"['About 20 cherry tomatoes (plus extra for snacking)', '2 teaspoons balsamic vinegar', '1 teaspoon extra virgin olive oil', 'Salt and pepper, to taste', '4 slices thick-cut bacon', '8 large raw shrimp (16-20’s), peeled and deveined, tail on', '1 tablespoon pickling spice blend (available in bulk, or substitute 1 bay leaf and a few peppercorns)', 'Remoulade Sauce', '1/4 cup (about 40 stems) microgreens, such as radish, mustard or “spicy blend”', '3-inch matchsticks of various vegetables, such as celery, carrot, broccoli, red bell pepper, zucchini, etc. (optional)', '2 lemon slices, each cut into 4 wedges']","['Preheat oven to 350° F.', 'Cut tomatoes in half and toss with vinegar and oil. Season with salt and pepper. Spread out on a parchment-lined baking sheet and roast until sticky and brown around the edges, about 15 to 20 minutes.', 'Place bacon on a separate baking sheet and roast until crispy and golden, about 15 to 20 minutes. Drain on paper towels and cut in half crosswise.', 'Bring a small pot of well-salted water and pickling spices to a boil. Add shrimp and cook for 3 to 4 minutes. Drain and thoroughly chill shrimp.', 'To compose: Place a dollop of Remoulade Sauce in the bottom of 8 shot glasses, sake cups, martini glasses or wonton spoons. Layer each with microgreens and bacon (and matchstick veggies if using). Top each with 1 shrimp, 5 tomato halves and a dash more sauce, if desired. Garnish with a tiny wedge of lemon.']",https://www.pccmarkets.com
100004,Apple Cider Poached Bosc Pears,https://www.pccmarkets.com/recipe/apple-cider-poached-bosc-pears/,,,"Prep Time: 10 minutes
Serves: 4
Ingredient Notes: Corn-free, Dairy-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free, Vegan, Vegetarian",,PEARS,"['2 Bosc pears', '1/2 cup apple cider', '1/4 cup coarsely chopped cranberries', '2 tablespoons maple syrup or honey', '1 cinnamon stick, crushed', '5 to 6 whole cloves']","['Preheat oven to 350° F.', 'Cut the pears in half lengthwise. Scoop out the core with a spoon or a Parisian scoop. Cut a small slice off the curved edge of the pear so it won’t tip over for presentation.', 'Arrange pears, cored-side down, in an 8-inch square or round baking dish. In a small bowl, combine apple cider, cranberries, maple syrup or honey, cinnamon and cloves. Pour over pears. Bake until tender when pierced with a knife tip, about 30 to 35 minutes. Allow to cool.', 'You may transfer the cooking liquid to a small saucepan and reduce slightly to make a brightly colored syrup.']",https://www.pccmarkets.com
100005,Cheese And Fig Oatmeal Cookies,https://www.pccmarkets.com/recipe/cheese-fig-oatmeal-cookies/,,https://www.pccmarkets.com/wp-content/uploads/2017/10/pcc-cheese-fig-oatmeal-cookies-taste-1600.jpg,"Yields: Makes about 16 cookies
Ingredient Notes: Corn-free, Peanut-free, Soy-free, Tree nut-free, Vegetarian","The combination of savory cheeses; sweet, dried figs; and filling oatmeal in these hearty morsels make them just right for breakfast or as a first-course party snack.","CHEESE
COOKIES
FIGS","['1/4 cup warm water', '1/3 cup olive oil', '1/4 cup brown sugar', '1 egg', '1 cup old-fashioned rolled oats', '1 cup all-purpose flour', '1/2 teaspoon salt', '1/4 teaspoon baking soda', '1 teaspoon chopped fresh thyme', 'Freshly cracked black pepper, to taste', '1/2 cup grated Parmesan cheese', '1/2 cup grated Manchego cheese', '1/3 cup finely chopped dried figs']","['Preheat oven to 350° F. Line baking sheets with parchment paper. ', 'In a small bowl, mix together water, oil, sugar and egg. Place oats in a large bowl and pour wet mixture over the top. Stir to combine and let sit for 5 minutes. ', 'In a separate bowl, combine flour, salt, baking soda, thyme and pepper. Stir in cheeses and figs. Stir together flour and oat mixtures until well combined.', 'Scoop tablespoon-sized cookies onto the prepared baking sheets, then flatten to 1/4-inch-thick. Bake until edges are golden and set, 16 to 20 minutes. Let cool on the baking sheets for 5 minutes, then transfer to a wire rack to cool completely.']",https://www.pccmarkets.com
100006,Castelvetrano Olive And Orange Shortbread,https://www.pccmarkets.com/recipe/castelvetrano-olive-orange-shortbread/,,https://www.pccmarkets.com/wp-content/uploads/2017/10/pcc-olive-orange-shortbread-taste-1600.jpg,"Yields: Makes 40 to 50 cookies
Ingredient Notes: Corn-free, Peanut-free, Soy-free, Tree nut-free, Vegetarian","Compared to saltier varieties, Castelvetrano olives offer a naturally sweet and creamy flavor and texture, which is balanced beautifully by fresh orange zest in these shortbread cookies.","COOKIES
OLIVES
ORANGES","['2 1/2 cups all-purpose flour', '1/2 teaspoon baking soda', '1 teaspoon salt', '1/2 teaspoon black pepper', '1 cup unsalted butter, softened', '1/4 cup granulated sugar', '1 large egg yolk', '2 tablespoons orange juice', '1/3 cup drained, pitted and finely chopped Castelvetrano olives', '1 orange, zested', 'Flaky sea salt, for sprinkling (optional)']","['Stir together flour, baking soda, salt and pepper. Set aside.', 'Beat together butter and sugar until light and fluffy. Add egg yolk and orange juice; beat until combined. Add flour mixture and stir until combined. Fold in olives and orange zest.', 'Divide dough in half and press each half into a 2-inch diameter cylinder. Wrap in plastic and refrigerate for at least 1 hour and up to 3 days. ', 'Preheat oven to 350° F. Line baking sheets with parchment paper.', 'Slice chilled dough into 1/4-inch-thick disks. Place on the prepared baking sheets about 1-inch apart and sprinkle with sea salt. Bake until edges are golden, 15 to 20 minutes. Let cookies cool on the baking sheets for 5 minutes, then transfer to wire racks to cool completely.']",https://www.pccmarkets.com
100007,Pine Nut And Sage Cookies,https://www.pccmarkets.com/recipe/pine-nut-sage-cookies/,,https://www.pccmarkets.com/wp-content/uploads/2017/10/pcc-pine-nut-sage-cookies-taste-1600.jpg,"Yields: Makes about 20 cookies
Ingredient Notes: Corn-free, Peanut-free, Soy-free, Vegetarian",Fresh sage gives these not-too-sweet cookies a light herbal tone that pairs perfectly with tea.,"COOKIES
HERBS
PINE NUTS","['3 tablespoons pine nuts, plus additional for topping', '1 1/2 teaspoons finely chopped fresh sage', '1 cup plus 2 tablespoons all-purpose flour', '1/2 teaspoon baking soda', 'Pinch of salt', '5 tablespoons unsalted butter, softened', '1/2 cup granulated sugar', '2 tablespoons olive oil', '1 egg', '1/2 lemon, zested']","['Preheat oven to 325° F. Line baking sheets with parchment paper.', 'Place pine nuts in a dry skillet and toast over medium heat, stirring constantly, until fragrant, 3 to 4 minutes. Remove and let cool. Chop until coarsely ground. ', 'In a large bowl, whisk together pine nuts, sage, flour, baking soda and salt.', 'Beat butter and sugar together until light and fluffy. Mix in oil, egg and lemon zest. Add flour mixture and mix until combined.', 'Scoop dough into rounded teaspoons, and space 2-inches apart on the prepared baking sheets. Flatten slightly and top each with a pine nut. ', 'Bake cookies, rotating halfway through, until edges are golden, 15 to 20 minutes. Let cool for 5 minutes on the baking sheets, then transfer to wire racks to cool completely.']",https://www.pccmarkets.com
100008,Pear And Brie Bites,https://www.pccmarkets.com/recipe/pear-brie-bites/,,https://www.pccmarkets.com/wp-content/uploads/2017/10/pcc-pear-brie-bites-taste-1200.jpg,"Serves: 8 to 10
Ingredient Notes: Corn-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free, Vegetarian","This simple appetizer of fresh pears, creamy brie cheese and a hint of crushed fennel are a wonderful, gluten-free stand-in for crostini.",PEARS,"['1 tablespoon fennel seeds', '2 firm-ripe pears', '1 (8-ounce) wheel Brie cheese, cut into 1/4-inch-thick wedges', 'Honey, for drizzling', 'Freshly cracked black pepper']","['Preheat broiler. ', 'Place fennel seeds in a dry sauté pan over medium heat. Toast, shaking the pan frequently, until seeds are fragrant, 2 to 3 minutes. Remove from the heat and let cool. Lightly crush seeds and set aside.', 'Starting at the bottom, slice pears crosswise 1/4-inch-thick. Using a paring knife, core each slice. ', 'Place pears on a parchment-lined baking sheet. Top each pear with a wedge of cheese. Drizzle with honey and sprinkle with fennel and black pepper. Place under the broiler until cheese just starts to melt, 2 to 3 minutes. Remove and transfer pears to a serving platter. Serve immediately.']",https://www.pccmarkets.com
100009,Crostini With Spanish Romesco Dip,https://www.pccmarkets.com/recipe/crostini-with-spanish-romesco-dip/,"By Yary Oslund, Former PCC Cooks instructor",,"Prep Time: 25 minutes
Serves: 6
Ingredient Notes: Vegetarian, Corn-free, Dairy-free, Egg-free, Peanut-free, Soy-free",,,"['1 roasted red bell pepper', '1 jalapeno, seeds removed', '4 cloves garlic, peeled', '3 medium-size ripe tomatoes, sliced in half', '1/2 cup almonds', '1/4 cup hazelnuts', '1 baguette', '1/2 teaspoon spicy paprika (pimenton)', '1/2 teaspoon sweet paprika (pimenton)', '2 tablespoons red wine vinegar', '1/2 cup olive oil, plus more for drizzling']","['Preheat the oven to 375° F', 'Place roasted peppers, jalapeno, garlic cloves, tomatoes and nuts on a sheet tray and bake in the preheated oven for about 10 minutes.', 'Meanwhile, slice the baguette and drizzle some olive oil over it. Sprinkle with salt and pepper. Bake bread for 5-7 minutes. Remove from the oven and rub one of the peeled garlic cloves on the bread.', 'To finish the romesco dip, add the roasted mix to a food processor along with spices, a pinch of salt and pepper, red wine vinegar and olive oil. Process until a chunky dip is formed. Taste and adjust seasoning.', 'Spread baguette slices on a platter and top with romesco.']",https://www.pccmarkets.com
100010,Summer Squash And Goat Cheese Frittata Cups,https://www.pccmarkets.com/recipe/summer-squash-and-goat-cheese-frittata-cups/,,,"Yields: About 12 frittatas
Ingredient Notes: Vegetarian, Corn-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,"GOAT CHEESE
HERBS
SUMMER SQUASH","['1 tablespoon high-heat oil', '1 cup diced onions', '2 cloves garlic, minced', '10 eggs', '1 cup shredded summer squash', '1/2 cup crumbled goat cheese', '1 tablespoon chopped fresh marjoram', '1 tablespoon chopped fresh parsley', 'Salt and pepper, to taste', 'Pinch of red pepper flakes (optional)']","['Preheat oven to 350° F. Line a muffin tin with paper liners.', 'Heat oil in a sauté pan over medium heat. Add onions and cook until golden, stirring often, about 10 minutes. Stir in garlic and cook until fragrant, about 1 minute. Let cool slightly.', 'In a large bowl, beat eggs until uniform in color. Fold in onion mixture, squash, cheese, herbs, salt, pepper and red pepper flakes. Divide the mixture among the prepared muffin cups.', 'Bake until set and golden on top, 25 to 30 minutes. Let cool in the pan for10 minutes, and then carefully remove paper liners. Cool completely, then refrigerate until ready to serve.']",https://www.pccmarkets.com
