recipe_name,recipe_link,recipe_type
Seven porridge toppers for every day of the week,https://realfood.tesco.com/curatedlist/seven-porridge-toppers-for-every-day-of-the-week.html,Tips and trends
5 easy family dinners for £25 – November week 3,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-november-week-3.html,Tips and trends
Christmas bakes with Lurpak®,https://realfood.tesco.com/curatedlist/christmas-bakes-with-lurpak.html,Tips and trends
Six surprising ways to cook with Hellmann’s mayonnaise,https://realfood.tesco.com/curatedlist/six-surprising-ways-to-cook-with-hellmanns-mayonnaise.html,Tips and trends
Amazing ways to use white wine,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-white-wine.html,Tips and trends
Amazing ways to use Quaker oats,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-quaker-oats.html,Tips and trends
5-ingredient recipes,https://realfood.tesco.com/curatedlist/5-ingredient-dinner-recipes.html,Tips and trends
Let’s Cook: Asian-Inspired Katsu Stir Fry,https://realfood.tesco.com/curatedlist/asian-inspired-katsu-stir-fry-recipes.html,Tips and trends
5 easy family dinners for £25 – November week 2,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-november-week-2.html,Tips and trends
Derek Sarno's best vegan recipes,https://realfood.tesco.com/curatedlist/derek-sarnos-best-vegan-recipes.html,Tips and trends
Seven porridge toppers for every day of the week,https://realfood.tesco.com/curatedlist/seven-porridge-toppers-for-every-day-of-the-week.html,Tips and trends
5 easy family dinners for £25 – November week 3,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-november-week-3.html,Tips and trends
Christmas bakes with Lurpak®,https://realfood.tesco.com/curatedlist/christmas-bakes-with-lurpak.html,Tips and trends
Six surprising ways to cook with Hellmann’s mayonnaise,https://realfood.tesco.com/curatedlist/six-surprising-ways-to-cook-with-hellmanns-mayonnaise.html,Tips and trends
Amazing ways to use white wine,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-white-wine.html,Tips and trends
Amazing ways to use Quaker oats,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-quaker-oats.html,Tips and trends
5-ingredient recipes,https://realfood.tesco.com/curatedlist/5-ingredient-dinner-recipes.html,Tips and trends
Let’s Cook: Asian-Inspired Katsu Stir Fry,https://realfood.tesco.com/curatedlist/asian-inspired-katsu-stir-fry-recipes.html,Tips and trends
5 easy family dinners for £25 – November week 2,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-november-week-2.html,Tips and trends
Derek Sarno's best vegan recipes,https://realfood.tesco.com/curatedlist/derek-sarnos-best-vegan-recipes.html,Tips and trends
How to bake a Christmas cake,https://realfood.tesco.com/step-by-step/how-to-bake-a-christmas-cake.html,Step-by-step
Five ways to use up leftover cabbage,https://realfood.tesco.com/curatedlist/five-ways-to-use-up-leftover-cabbage.html,Tips and trends
5 easy family dinners for £25 – November week 1,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-november-week-1.html,Tips and trends
10 spooky Halloween cakes,https://realfood.tesco.com/gallery/10-spooky-halloween-cakes.html,Top 10
3 ways with mini muffins,https://realfood.tesco.com/curatedlist/3-ways-with-mini-muffins.html,Tips and trends
10 best Christmas cocktails,https://realfood.tesco.com/gallery/10-best-christmas-cocktails.html,Top 10
3-ingredient bat out of hell cake pops,https://realfood.tesco.com/step-by-step/3-ingredient-bat-out-of-hell-cake-pops.html,Step-by-step
How to make a Halloween unicorn cake,https://realfood.tesco.com/step-by-step/how-to-make-a-halloween-unicorn-cake.html,Step-by-step
How to make spider cookies,https://realfood.tesco.com/step-by-step/how-to-make-spider-cookies.html,Step-by-step
8 mocktail recipes for the winter,https://realfood.tesco.com/gallery/mocktail-recipes-for-the-winter.html,Top 10
Scarily easy Halloween crafts,https://realfood.tesco.com/curatedlist/scarily-easy-halloween-crafts.html,Tips and trends
3-ingredient kiwi mocktail,https://realfood.tesco.com/step-by-step/3-ingredient-kiwi-mocktail.html,Step-by-step
3-ingredient 'creepy crumble' apples,https://realfood.tesco.com/step-by-step/3-ingredient-creepy-crumble-apples.html,Step-by-step
3-ingredient pear ghost lollies,https://realfood.tesco.com/step-by-step/3-ingredient-pear-ghost-lollies.html,Step-by-step
3-ingredient cookie dough mummies,https://realfood.tesco.com/step-by-step/3-ingredient-cookie-dough-mummies.html,Step-by-step
How to make lychee eyeballs,https://realfood.tesco.com/step-by-step/how-to-make-lychee-eyeballs.html,Step-by-step
3-ingredient witch's hat sausage rolls,https://realfood.tesco.com/step-by-step/3-ingredient-witchs-hat-sausage-rolls.html,Step-by-step
Best recipes to serve 1,https://realfood.tesco.com/gallery/best-recipes-to-serve-1.html,Top 10
10 scary savoury Halloween treats,https://realfood.tesco.com/gallery/10-scary-savoury-halloween-treats.html,Top 10
5 easy family dinners for £25 – October week 3,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-october-week-3.html,Tips and trends
10 dinner recipes for kids,https://realfood.tesco.com/gallery/10-dinner-recipes-for-kids.html,Top 10
Five ways to use up leftover cucumbers,https://realfood.tesco.com/curatedlist/5-ways-to-use-up-leftover-cucumber.html,Tips and trends
Amazing ways to use green pesto,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-green-pesto.html,Tips and trends
Fakeaways from around the world,https://realfood.tesco.com/gallery/fakeaways-from-around-the-world.html,Top 10
10 quick dinner ideas to see you through winter,https://realfood.tesco.com/gallery/10-quick-dinner-ideas-to-see-you-through-winter.html,Top 10
