tjs_id,recipe_category,recipe_name,recipe_link,recipe_image,recipe_description,recipe_overview,recipe_ingredients,recipe_directions,recipe_tags
100005,Appetizers & Sides,Raw Cranberry Relish,https://www.traderjoes.com/recipes/appetizers-sides/raw-cranberry-relish,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/22295-fresh-cranberries-REC.jpg,"This recipe eschews sugary sauces in favor of refreshingly raw Trader Joe’s Cranberries and just-sweet-enough chunks of fresh apple. With a bite of crystallized ginger and tangy orange juice in the mix, it’s a welcome counterpart to the richness of the Thanksgiving meal—and since there’s no cooking involved, it won’t take up precious real estate on the stove on T-Day!",Serves: 8 Prep Time: 10 Minutes,"['1 bag TJ’s Cranberries, rinsed and drained', '1 medium-sized TJ’s Gala Apple or SweeTango Apple, peeled & cut into large chunks', '1/4 teaspoon TJ’s Ground Nutmeg (optional)', 'Pinch TJ’s Sea Salt', 'Zest and 1/4 cup juice from 1 TJ’s Orange', '1/4 cup diced TJ’s Crystallized Ginger', '1/3 cup TJ’s Walnut Baking Pieces', '1/2 cup TJ’s Multi-Floral & Clover Honey']","['DIRECTIONS', 'Add cranberries, apple chunks, nutmeg, salt, and orange zest to bowl of a food processor. Pulse 15 times to create a chunky relish. Add orange juice and pulse a couple more times to combine.', 'Transfer mixture to a bowl and fold in ginger, walnuts, and honey. Cover and refrigerate for 1 hour and up to 1 day before serving.', 'Tags: Condiment, Cranberry, Raw, Side Dish, Thanksgiving']","['Condiment', 'Cranberry', 'Raw', 'Side Dish', 'Thanksgiving']"
100006,Appetizers & Sides,Roasted Brussels Sprouts,https://www.traderjoes.com/recipes/appetizers-sides/roasted-brussels-sprouts,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/9419-brussels-sprouts-stalk-REC.jpg,"The Christmas Trees of Thanksgiving, Trader Joe's Brussels Sprouts Stalks herald the start of the season. You can decorate them and showcase them as a point of commune and celebration. But, unlike the iconic evergreens, these enchanting offerings of Brassica buds spiraled around a sturdy stem can be eaten, too. The sprouts can be removed and then broiled, steamed or sautéed separately. Or, give your turkey a run for its centerpiece money and roast the whole stalk in the oven, complete with a sweet maple & olive oil glaze.",Serves: 6 - 8 Prep Time: 10 Minutes Cooking Time: 55 Minutes,"[""1 TJ's Brussels Sprouts Stalk (Seasonal)"", ""3/4 cup of your favorite TJ's Maple Syrup"", ""1/4 cup TJ's Extra Virgin California Estate Olive Oil"", ""1/4 teaspoon TJ's Ground Black Pepper, or to taste"", ""1/4 teaspoon TJ's Sea Salt, or to taste"", ""TJ's Dried Cranberries or TJ's Fresh Pomegranate Seeds, for garnish""]","['DIRECTIONS', 'Preheat oven to 350°F. Trim the stalk down to the fullest, best looking part. Trim sprouts off one side to make a flat bottom. Trim any ""tough"" leaves from the sprouts. Rinse stalk and trimmed sprouts well in fresh water. Wrap damp stalk in cling wrap and heat in the microwave for 4-5 minutes. Place the trimmed loose sprouts in a bowl, cover with cling wrap and microwave for 3 minutes.', 'Whisk maple syrup and olive oil together. Place stalk flat side down along with any loose sprouts on a roasting pan and pour the maple syrup mixture over. Use a pastry brush to mop the maple syrup onto all sides of the sprouts and stalk. Season, to taste, with salt and pepper.', 'Place pan in oven and roast for 45 minutes, or until sprouts on stalk are fork-tender and caramelized to a golden color.', 'To serve: Place stalk on a holiday platter, pour any syrup from roasting pan over and garnish with something bright and tart such as dried cranberries or fresh pomegranate seeds.', 'Tags: Fancy, Meatless, Roasted, Seasonal, Thanksgiving']","['Fancy', 'Meatless', 'Roasted', 'Seasonal', 'Thanksgiving']"
100007,Appetizers & Sides,Broccoli Mac & Cheese,https://www.traderjoes.com/recipes/appetizers-sides/broccoli-mac--cheese,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/68707-roasted-broccoli-REC.jpg,"Within days of harvest, U.S.-grown Trader Joe’s Roasted Broccoli is trimmed to essentially just the “flowers” and seasoned with olive oil, sea salt, and pepper before it’s oven-roasted at 500°F for a short period of time. The high-temperature plus short cooking time ensures true, roasted texture and flavor, ready to enjoy on its own or add a green boost to comfort food favorites, like this classic recipe for broccoli mac & cheese.",Serves: 6 - 8 Prep Time: 5 Minutes Cooking Time: 15 Minutes,"['1lb your favorite short cut of TJ’s Pasta (Macaroni, Farfalle, Fusilli, etc.)', '2 cups TJ’s Whole Milk', '1 package (8 oz.) TJ’s Cream Cheese, cubed', 'Dash of TJ’s Garlic Powder (optional)', '1 bag TJ’s Shredded Sharp Cheddar', '2 tablespoons TJ’s Unsalted Butter', 'TJ’s Black Pepper', '1 package TJ’s Roasted Broccoli, microwaved according to package directions (cut any large pieces into smaller florets, if needed)']","['DIRECTIONS', 'Bring a large pot of salted water to a boil. Cook pasta until barely al dente. Drain and set aside.', 'While pasta cooks, add milk to a large pot and bring to a simmer. Reduce heat to low and whisk in cream cheese and garlic powder until totally smooth.', 'Add cheese and butter and continue whisking until the cheese is fully melted.', 'Add cooked pasta to sauce and stir to coat. Add roasted broccoli and cook a few minutes more, continuing to stir until sauce has thickened slightly. Remove from heat and stir in fresh ground pepper to taste.', 'Let cool slightly before digging in!', 'Tags: Cheese, Cheesy, Comfort Food, Entertaining, Side Dish, Thanksgiving']","['Cheese', 'Cheesy', 'Comfort Food', 'Entertaining', 'Side Dish', 'Thanksgiving']"
100008,Appetizers & Sides,Stewed Green Beans,https://www.traderjoes.com/recipes/appetizers-sides/stewed-green-beans,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/68708-roasted-green-beans-REC.jpg,"Within days of harvest, U.S.-grown Trader Joe’s Roasted Green Beans are seasoned with olive oil, sea salt, and pepper before they’re oven-roasted at 500°F for a short period of time. The high-temperature plus short cooking time ensures true, roasted texture and flavor, whether you serve them as a side dish for roast chicken or grilled fish, or atop a bed of rice for a meatless meal.",Serves: 4 - 6 Prep Time: 5 Minutes Cooking Time: 20 Minutes,"['1 tablespoon TJ’s Olive Oil', ""1/2 TJ's Jumbo White Onion, diced"", 'Pinch TJ’s Sea Salt', '2-3 cloves TJ’s Garlic, minced', '2 teaspoons TJ’s Organic Ground Cinnamon', '1 ½ teaspoons TJ’s Organic Ground Cumin', '½ teaspoon TJ’s Ground Pepper', '1 can (15 oz.) TJ’s Organic Tomato Sauce', '1 can (14.5 oz.) TJ’s Organic Diced No Salt Added Tomatoes, drained', '1 package TJ’s Roasted Green Beans']","['DIRECTIONS', 'Heat olive oil in a large nonstick skillet over medium heat. Add diced onion and salt and sauté 3 minutes. Add garlic and sauté until onions are translucent.', 'Add cinnamon, cumin, and pepper and sauté just until fragrant. Add tomates and tomato sauce and bring to a simmer. Reduce heat to medium-low and simmer 10 minutes, stirring occasionally.', 'Add green beans to sauce and stir to combine. Simmer 5 minutes. Remove from heat and let cool slightly before serving.', 'Tags: Entertaining, Meatless, Side Dish, Thanksgiving']","['Entertaining', 'Meatless', 'Side Dish', 'Thanksgiving']"
100009,Appetizers & Sides,Roasted Cauliflower Salad,https://www.traderjoes.com/recipes/appetizers-sides/roasted-cauliflower-salad,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/68706-roasted-cauliflower-REC.jpg,"Done right, roasted vegetables possess a wonderful contrast of textures, from the softer inner parts to the browned bits of the exterior—not to mention the balance they provide to other rich dishes on the holiday table. But what to do if your oven is tied up with turkey or ham and you’re hankering for roasted veggies? Combine Trader Joe’s Roasted Cauliflower with an array of chewy dried fruit, crunchy almonds, and tangy dressing for a light yet satisfying side dish that’s ready in less than 10 minutes—no oven necessary.",Serves: 6 - 8 Prep Time: 5 Minutes Cooking Time: 2 Minutes,"['2 packages TJ’s Roasted Cauliflower, microwaved per package instructions', '1/4 cup TJ’s Dried Cranberries', '1/4 cup TJ’s Golden Raisins', '1/4 cup TJ’s Raw Sliced Almonds', '1/3 cup TJ’s Organic Rosé Vinaigrette', '2 TJ’s Green Onions, chopped', 'Handful TJ’s Fresh Parsley, chopped']","['DIRECTIONS', 'Add cauliflower, cranberries, raisins, and almonds to a shallow bowl or serving platter. Drizzle with vinaigrette and gently stir to coat. Shower with chopped green onions and parsley and serve.', 'Tags: Cauliflower, Fall, Side Dish, Thanksgiving']","['Cauliflower', 'Fall', 'Side Dish', 'Thanksgiving']"
100010,Appetizers & Sides,Creamed Greens,https://www.traderjoes.com/recipes/appetizers-sides/creamed-greens,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/69471-creamed-greens-REC.jpg,"Think of Trader Joe’s Creamed Greens as a twist on creamed spinach, with Brussels sprouts as the flavor focal point. Rich, creamy, hearty, and delicious, it’s fully cooked before being frozen, so it’s ready to heat and eat in minutes. For a holiday dinner-worthy presentation, plate it on your favorite serving dish and top with crunchy breadcrumbs and savory bacon.",Serves: 4 Cooking Time: 5 - 20 Minutes,"['2 tablespoons your favorite TJ’s Olive Oil', '½ cup TJ’s Japanese Style Panko Breadcrumbs', '1 tray TJ’s Creamed Greens (seasonal), cooked according to package directions', '3 pieces TJ’s Fully Cooked Uncured Bacon, cooked according to package directions and crumbled into pieces']","['DIRECTIONS', ""Add olive oil to a skillet over medium heat. When olive oil is hot, add breadcrumbs and stir to combine. Cook 5 minutes or so, stirring frequently, until evenly toasted to a golden brown (don't take your eyes off the pan—the breadcrumbs can go from beautifully burnished to burnt in a flash!). Remove from heat and set aside."", 'Transfer heated creamed greens to a serving dish. Top with toasted breadcrumbs and bacon, and enjoy.', 'Tags: Comfort Food, Fall, Side Dish, Thanksgiving']","['Comfort Food', 'Fall', 'Side Dish', 'Thanksgiving']"
100011,Appetizers & Sides,Whipped Avocado Dip,https://www.traderjoes.com/recipes/appetizers-sides/whipped-avocado-dip,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/65226-sweet-potato-chips-avo-REC.jpg,"We're the first to admit that we're gaga for guac, but for delicate dippers, sometimes a chunky guac is not the way to go. Enter this whipped avocado dip recipe: it's delightfully fluffy, with buttery avocado flavor, a tangy creaminess, and a superlight texture that won't leave you with a mess of broken chips in your dip bowl. Pair it with wafer-thin sweet potato chips or dollop it on enchiladas for savory avo bliss.",Serves: 6 - 8 Prep Time: 5 Hours,"[""1 package (2 trays) TJ's Avocado's Number Guacamole"", ""Juice of half a TJ's Lime"", ""1/2 cup TJ's Sour Cream"", ""Pinch TJ's Sea Salt""]","['DIRECTIONS', 'Add all ingredients to a medium bowl. Use a hand mixer to beat 3 to 5 minutes until mixture is fluffy and no lumps remain, stopping to scrape down the sides of the bowl as needed. Taste and adjust salt if necessary, and serve.', 'Tags: Avocado, Condiment, Dip']","['Avocado', 'Condiment', 'Dip']"
100012,Appetizers & Sides,Corn Cookie Corn Dog Bites,https://www.traderjoes.com/recipes/appetizers-sides/corn-cookie-corn-dog-bites,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/68514-corn-cookies-mix-dog-REC.jpg,"The county fair maybe cancelled this year, but you can make your fair share of deep fried treats from the comfort of your own home using Trader Joe’s Corn Cookie Baking Mix.",Serves: 8 Prep Time: 10 Minutes Cooking Time: 20 - 25 Minutes,"['1 bottle (1 quart) TJ’s Canola Oil', '1 Large Egg', '1 cup TJ’s Whole Milk', '1 container TJ’s Corn Cookie Baking Mix', '1 package TJ’s Uncured Beef Hot Dogs, cut into thirds', ""TJ's Honey Pale Ale Mustard (or your favorite TJ's Mustard), for dipping""]","['DIRECTIONS', 'Fill a large pot with canola oil (oil should come up about three inches high or so). Heat on medium heat until oil reaches 365°F.', 'While oil heats, whisk egg and milk in a large bowl. Add mix and stir to combine.', 'Line a plate with paper towels, set aside.', 'Dip 1-3 hot dog pieces in batter and use tongs to carefully place in hot oil. Fry 2-3 minutes, until corn dog bites turn golden brown. Use a slotted spoon to remove from oil, allowing excess to drip back into pot before transferring to a paper-towel-lined plate.', 'Let corn dog bites cool slightly. Serve with mustard or your favorite sauce for dipping. Enjoy!', 'Tags: Corn, Hot Dog, Summer']","['Corn', 'Hot Dog', 'Summer']"
100013,Appetizers & Sides,Vegan Caesar Salad,https://www.traderjoes.com/recipes/appetizers-sides/vegan-caesar-salad,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/68174-vegan-caesar-dressing.jpg,"Trader Joe’s Vegan Caesar Dressing uses an ingenious mix of plant-based ingredients, including tofu, capers, mustard, and miso to create a deliciously savory, enticingly peppery, and satisfyingly creamy Caesar Dressing while remaining totally vegan! This vegan Caesar salad recipe brings the restaurant classic to life, complete with a batch of savory, vegan “Parmesan cheese” and garbanzo bean croutons.",Serves: 2 - 4 Prep Time: 15 Minutes Cooking Time: 20 - 30 Minutes,"['1 can TJ’s Organic Garbanzo beans, drained', '1 tablespoon TJ’s Olive Oil', '1 teaspoon TJ’s Vegan Chicken-less Seasoning Salt', '¾ cup TJ’s Raw Cashew Pieces', '3 tablespoons TJ’s Nutritional Yeast', '¾ teaspoon TJ’s Sea Salt', 'Dash TJ’s Garlic Powder', '1 bag TJ’s Organic Romaine Salad', 'TJ’s Vegan Caesar Dressing', 'TJ’s Black Pepper', '1 TJ’s Lemon, cut into wedges']","['DIRECTIONS', 'Prepare garbanzo beans: Preheat oven to 400°F.', 'Spread drained garbanzo beans on a clean, lint-free towel or paper towels and pat dry. Transfer beans to a small bowl, add olive oil and stir to coat.', 'Spread beans on a rimmed baking sheet and roast on center rack of oven for 20-30 minutes. Remove from oven and toss beans with vegan chicken-less seasoning salt, set aside.', 'Prepare vegan “Parmesan cheese”: While garbanzo beans are roasting, add cashew pieces, nutritional yeast, sea salt and garlic powder to a food processor. Pulse to a fine meal, stopping to scrape down the sides of the bowl as necessary. Set aside. (This recipe will yield enough “cheese” to sprinkle on salads, pasta dishes, omelettes…store the leftovers in an airtight container in the fridge and it will keep for a couple of weeks.)', 'Assemble salad: Arrange romaine salad on a serving platter or large shallow bowl. Drizzle with 3 tablespoons dressing and 1 tablespoon vegan Parmesan and toss to coat. Add more dressing if desired.', 'Top with roasted garbanzo beans, sprinkle with vegan Parmesan, and finish with a few grinds of black pepper. Serve with lemon wedges and more dressing on the side.', 'Tags: Salad, Vegan']","['Salad', 'Vegan']"
100014,Appetizers & Sides,Fried Halloumi Salad,https://www.traderjoes.com/recipes/appetizers-sides/fried-halloumi-salad,https://www.traderjoes.com/TJ_CMS_Content/Images/Recipe/66771-halloumi-cheese-REC.jpg,"Atalanta® Halloumi is made on the island of Cyprus using sheep’s milk. During production, the curds are heated to high temperatures, a process which gives it both its “squeaky” texture and ability to hold its shape when cooked or grilled. Atalanta®’s cheesemakers also include a bit of mint, which adds a slight refreshing counterbalance to Halloumi’s natural brininess. Highlight its irresistibly salty flavor further by pan-frying and pairing it with ripe peaches, fermented jalapeños and a spicy-sweet dressing for a salad that sings of summer.",Serves: 3 - 4 Prep Time: 10 Minutes Cooking Time: 8 Minutes,"['2 tablespoons TJ’s Pickled Fermented Jalapeños (reserve liquid from jar)', 'Your favorite TJ’s Honey', 'Your favorite TJ’s Olive Oil', '2 packages TJ’s Microgreens OR 1 package TJ’s Organic Spring Mix', '2 ripe TJ’s Peaches, pitted and thinly sliced', '1 package Atalanta Halloumi Cheese, drained and sliced ¼-inch thick', 'TJ’s Black Pepper']","['DIRECTIONS', 'In a small bowl, mix equal parts liquid from jar of pickled fermented jalapeños, honey and olive oil, set aside.', 'Arrange greens on a serving platter. Drizzle with desired amount of dressing and toss gently to evenly coat.', 'Arrange peach slices and jalapeños atop greens, set aside.', 'Preheat a nonstick skillet to medium high. Pat halloumi slices dry with paper towels. Brush both sides with olive oil.', 'Fry halloumi 3-4 minutes per side, until golden brown. Remove from heat.', 'Arrange fried halloumi atop salad. Top with a few grinds of black pepper and serve.', 'Tags: Cheese, Salad, Spicy, Summer']","['Cheese', 'Salad', 'Spicy', 'Summer']"
